#   X	          Y	         Z	   Intensity
-0.36485299	-1.03248596	0.94160497	0.452522
-0.36390701	-1.02980006	0.94154400	0.427131
-0.36723301	-1.03523302	0.94215399	0.472541
-0.36634800	-1.03272998	0.94224501	0.443976
-0.36534101	-1.02986097	0.94203198	0.416388
-0.36891201	-1.03581202	0.94309998	0.457649
-0.37168899	-1.03953600	0.94206202	0.466682
-0.37071201	-1.03684998	0.94203198	0.444709
-0.36970499	-1.03398097	0.94181800	0.422004
-0.36885101	-1.03163099	0.94209301	0.398810
-0.36796600	-1.02912903	0.94218397	0.377081
-0.36686701	-1.02610803	0.94178802	0.361212
-0.37321499	-1.03978002	0.94270301	0.454719
-0.37229899	-1.03724694	0.94282502	0.432746
-0.37138399	-1.03474402	0.94294697	0.417365
-0.37043801	-1.03205895	0.94288599	0.395880
-0.36939999	-1.02918994	0.94267303	0.374884
-0.37519801	-1.04109204	0.94194001	0.447883
-0.37410000	-1.03807104	0.94160497	0.421515
-0.37306201	-1.03520203	0.94139099	0.403204
-0.37229899	-1.03303504	0.94181800	0.384405
-0.37126201	-1.03019702	0.94160497	0.367559
-0.37016299	-1.02717602	0.94123799	0.355596
-0.36909500	-1.02412403	0.94084197	0.355352
-0.36805701	-1.02128601	0.94059801	0.356329
-0.36695901	-1.01826501	0.94020098	0.360479
-0.37770101	-1.04402196	0.94261199	0.467170
-0.37660199	-1.04100001	0.94227600	0.437385
-0.37562600	-1.03831506	0.94224501	0.411505
-0.37470999	-1.03578198	0.94233698	0.393683
-0.37379500	-1.03327894	0.94245899	0.376593
-0.37275699	-1.03044105	0.94224501	0.361944
-0.37168899	-1.02742004	0.94187897	0.348272
-0.37059000	-1.02436805	0.94148302	0.344366
-0.36949199	-1.02134705	0.94108599	0.343389
-0.36839300	-1.01832604	0.94068903	0.346807
-0.37922701	-1.04405200	0.94309998	0.458625
-0.37825000	-1.04136705	0.94306898	0.429084
-0.37727401	-1.03868103	0.94303900	0.401495
-0.37629700	-1.03599501	0.94297802	0.378546
-0.37531999	-1.03333998	0.94294697	0.365362
-0.37434399	-1.03065503	0.94288599	0.353887
-0.37330601	-1.02778602	0.94267303	0.346563
-0.37220800	-1.02476501	0.94227600	0.341924
-0.37117001	-1.02192700	0.94206202	0.344366
-0.38124099	-1.04539502	0.94233698	0.450324
-0.38011199	-1.04234302	0.94197100	0.423468
-0.37907401	-1.03950500	0.94178802	0.399786
-0.37809801	-1.03681898	0.94175702	0.380011
-0.37712100	-1.03413403	0.94172698	0.367071
-0.37614399	-1.03144801	0.94166601	0.354376
-0.37510699	-1.02860999	0.94145203	0.346563
-0.37406901	-1.02574205	0.94123799	0.341436
-0.37290999	-1.02256799	0.94068903	0.341680
-0.37181100	-1.01954699	0.94029200	0.342657
-0.37071201	-1.01652503	0.93989599	0.348028
-0.36973599	-1.01383996	0.93980402	0.353155
-0.38368201	-1.04814100	0.94282502	0.464485
-0.38264501	-1.04527295	0.94264197	0.442512
-0.38166800	-1.04258704	0.94261199	0.417365
-0.38072199	-1.04008496	0.94273400	0.393194
-0.37980700	-1.03755200	0.94285601	0.371221
-0.37882999	-1.03486598	0.94282502	0.354376
-0.37785301	-1.03221095	0.94276398	0.348272
-0.37675500	-1.02918994	0.94239801	0.343877
-0.37559500	-1.02598596	0.94187897	0.339239
-0.37461901	-1.02330005	0.94178802	0.334600
-0.37348899	-1.02027905	0.94142199	0.336553
-0.37233001	-1.01710498	0.94084197	0.337774
-0.37129200	-1.01426697	0.94059801	0.342901
-0.38532999	-1.04853797	0.94361901	0.443488
-0.38435400	-1.04582202	0.94358802	0.421271
-0.38328600	-1.04298401	0.94340497	0.403693
-0.38218701	-1.03993201	0.94306898	0.382452
-0.38117999	-1.03724694	0.94303900	0.362188
-0.38032499	-1.03492701	0.94331402	0.348760
-0.37928799	-1.03208899	0.94309998	0.346075
-0.37815899	-1.02906799	0.94273400	0.341436
-0.37706000	-1.02604699	0.94233698	0.338750
-0.37602201	-1.02317798	0.94212300	0.337041
-0.37489301	-1.02015698	0.94172698	0.339971
-0.37385601	-1.01731896	0.94148302	0.336553
-0.37281799	-1.01448095	0.94123799	0.334844
-0.38807699	-1.05183399	0.94221503	0.451545
-0.38722199	-1.04948401	0.94252002	0.433967
-0.38627601	-1.04698205	0.94267303	0.413458
-0.38542199	-1.04463196	0.94294697	0.396368
-0.38438401	-1.04179394	0.94276398	0.378546
-0.38319400	-1.03858900	0.94227600	0.365118
-0.38212600	-1.03572094	0.94206202	0.350958
-0.38102701	-1.03269994	0.94172698	0.342657
-0.37989801	-1.02967799	0.94136000	0.338018
-0.37886000	-1.02683997	0.94114703	0.341436
-0.37788400	-1.02415502	0.94108599	0.343633
-0.37669399	-1.02098095	0.94053602	0.345586
-0.37565601	-1.01811194	0.94029200	0.341680
-0.37458801	-1.01530504	0.94004798	0.338750
-0.37361100	-1.01261902	0.93995702	0.338750
-0.37257400	-1.00978100	0.93971300	0.349981
-0.38981599	-1.05238295	0.94316101	0.438361
-0.38880900	-1.04969800	0.94313002	0.419074
-0.38789400	-1.04716504	0.94328302	0.400763
-0.38688701	-1.04447901	0.94328302	0.386847
-0.38575700	-1.04145801	0.94291699	0.371710
-0.38465899	-1.03843701	0.94258100	0.361212
-0.38352999	-1.03541601	0.94224501	0.352178
-0.38255301	-1.03272998	0.94218397	0.347295
-0.38148499	-1.02989197	0.94197100	0.341436
-0.38044700	-1.02702296	0.94175702	0.340459
-0.37925699	-1.02384901	0.94123799	0.343145
-0.37812799	-1.02082801	0.94084197	0.351446
-0.37709001	-1.01798999	0.94062799	0.348516
-0.37596101	-1.01496899	0.94020098	0.341680
-0.37492400	-1.01216102	0.93995702	0.337774
-0.37385601	-1.00932300	0.93971300	0.343633
-0.39238000	-1.05506897	0.94361901	0.441047
-0.39149499	-1.05274999	0.94392401	0.420050
-0.39057899	-1.05024695	0.94407701	0.403449
-0.38951099	-1.04737902	0.94392401	0.389044
-0.38844299	-1.04451001	0.94374102	0.373419
-0.38731399	-1.04148901	0.94340497	0.363409
-0.38618499	-1.03846705	0.94306898	0.351690
-0.38511699	-1.03559899	0.94285601	0.341924
-0.38398701	-1.03257799	0.94252002	0.339239
-0.38288900	-1.02955604	0.94215399	0.335821
-0.38188201	-1.02690101	0.94209301	0.334112
-0.38069201	-1.02369702	0.94154400	0.334112
-0.37971500	-1.02104199	0.94148302	0.339483
