#    X	          Y	         Z	    Scalar field
-2.38496399	0.13325500	0.38221699	-1764.000000
-2.20951796	0.72465497	0.37806699	-1583.000000
-2.16246009	0.94456500	0.38062999	-1581.000000
-2.19322205	1.05958605	0.38151601	-1606.000000
-2.39717102	0.04216000	0.38246199	-1554.000000
-2.39686608	0.04289200	0.38279700	-1538.000000
-2.26121497	0.66526800	0.37751800	-1632.000000
-2.14250207	1.01756299	0.38218701	-1504.000000
-2.39634705	0.04432700	0.38273600	-1566.000000
-2.39714098	0.04335000	0.38246199	-1585.000000
-2.20320106	0.72227502	0.37846401	-1571.000000
-2.19770789	0.94627398	0.37977600	-1621.000000
-2.24546790	0.49931300	0.37806699	-1525.000000
-2.39616394	0.04469300	0.38230899	-1614.000000
-2.25535607	0.42866501	0.37879899	-1512.000000
-2.39540100	0.04582200	0.38218701	-1663.000000
-2.29576111	0.48554999	0.37812799	-1645.000000
-2.22276306	0.68058801	0.37757900	-1549.000000
-2.25868201	0.69499201	0.37776199	-1657.000000
-2.23200989	0.70726001	0.37803599	-1587.000000
-2.28541589	0.42451501	0.37831101	-1620.000000
-2.30302405	0.43489099	0.37879899	-1679.000000
-2.19343591	0.95490998	0.37971500	-1638.000000
-2.19847107	1.00520301	0.38056901	-1623.000000
-2.22132897	0.70848101	0.37757900	-1582.000000
-2.39778090	0.04255700	0.38334700	-1522.000000
-2.25227404	0.65501398	0.37794501	-1617.000000
-2.27210999	0.47727999	0.37748700	-1574.000000
-2.28477502	0.50947601	0.37794501	-1634.000000
-2.24159193	0.63240099	0.37754801	-1598.000000
-2.39482093	0.04136700	0.38325500	-1522.000000
-2.39601111	0.04289200	0.38343799	-1542.000000
-2.39561510	0.04213000	0.38297999	-1515.000000
-2.19471693	0.84581000	0.37937900	-1596.000000
-2.18315101	0.83402997	0.37882999	-1532.000000
-2.25318909	0.73896801	0.37828100	-1642.000000
-2.23094201	0.81370503	0.37843299	-1662.000000
-2.39109802	0.04100000	0.38340801	-1547.000000
-2.20820594	1.04331994	0.38096601	-1663.000000
-2.39451599	0.04286200	0.38359100	-1550.000000
-2.18177795	0.86070299	0.37907401	-1589.000000
-2.22282410	0.79164100	0.37867701	-1660.000000
-2.19465590	0.79322797	0.37864700	-1551.000000
-2.31663489	0.46086100	0.37870800	-1673.000000
-2.39091492	0.04203800	0.38301101	-1556.000000
-2.26145911	0.45271301	0.37757900	-1571.000000
-2.39823890	0.04359400	0.38340801	-1554.000000
-2.39829993	0.04338100	0.38304099	-1547.000000
-2.20494103	0.85371399	0.37910500	-1633.000000
-2.20179701	1.06458998	0.38148499	-1611.000000
-2.18934608	0.87318403	0.37904400	-1635.000000
-2.21751404	0.74220300	0.37794501	-1589.000000
-2.22477698	0.77970898	0.37797499	-1652.000000
-2.39549303	0.04469300	0.38337699	-1550.000000
-2.19132996	0.76905799	0.37794501	-1551.000000
-2.17375207	0.95902997	0.38017300	-1611.000000
-2.39799500	0.04661600	0.38301101	-1624.000000
-2.20930505	0.93293798	0.37986800	-1681.000000
-2.39500403	0.04542500	0.38328600	-1568.000000
-2.39576697	0.04582200	0.38304099	-1601.000000
-2.21693397	0.81880200	0.37852499	-1649.000000
-2.20912194	0.85765100	0.37840301	-1566.000000
-2.14595008	1.00132799	0.38121000	-1571.000000
-2.39433289	0.04332000	0.38316301	-1547.000000
-2.20933509	0.97316003	0.38044700	-1671.000000
-2.21607995	0.70191997	0.37794501	-1578.000000
-2.31623793	0.45887801	0.37895200	-1631.000000
-2.21946692	0.69432098	0.37809801	-1557.000000
-2.17189002	1.07585096	0.38237000	-1600.000000
-2.21079993	0.92997700	0.37989801	-1650.000000
-2.24888611	0.46556100	0.37818900	-1431.000000
-2.18022203	1.04545605	0.38182101	-1640.000000
-2.30122399	0.48890701	0.37757900	-1657.000000
-2.20851111	1.06397998	0.38081399	-1548.000000
-2.39329505	0.04579200	0.38301101	-1584.000000
-2.24729896	0.74104297	0.37825000	-1666.000000
-2.39427209	0.04615800	0.38316301	-1596.000000
-2.22987390	0.69187897	0.37770101	-1587.000000
-2.38841200	0.04020700	0.38337699	-1556.000000
-2.38667297	0.03904700	0.38346899	-1602.000000
-2.23561096	0.66261297	0.37797499	-1578.000000
-2.29097009	0.42268401	0.37876901	-1606.000000
-2.18449402	0.83070397	0.37846401	-1615.000000
-2.37999010	0.03849800	0.38356000	-1588.000000
-2.37562609	0.03700300	0.38322401	-1572.000000
-2.19145203	0.96980298	0.37999001	-1515.000000
-2.21470594	0.75730902	0.37828100	-1603.000000
-2.37800598	0.03889500	0.38362101	-1593.000000
-2.37702894	0.03843700	0.38346899	-1586.000000
-2.17658997	1.09132397	0.38255301	-1596.000000
-2.37608290	0.03776600	0.38331601	-1583.000000
-2.37614393	0.03804000	0.38291901	-1583.000000
-2.23597693	0.78709400	0.37852499	-1655.000000
-2.16224694	1.03150904	0.38179001	-1606.000000
-2.17579699	1.08631897	0.38246199	-1605.000000
-2.25257897	0.45237699	0.37837201	-1536.000000
-2.17588806	0.96046400	0.37980700	-1656.000000
-2.21116590	0.75462300	0.37834200	-1612.000000
-2.20668006	0.95094299	0.38020301	-1664.000000
-2.16716003	1.08036804	0.38240099	-1579.000000
-2.24598694	0.83546400	0.37919599	-1693.000000
-2.39036608	0.04158000	0.38331601	-1529.000000
-2.38966393	0.04127500	0.38319400	-1531.000000
-2.38935900	0.04127500	0.38352999	-1538.000000
-2.38935900	0.04158000	0.38352999	-1524.000000
-2.18046594	1.01741004	0.38111901	-1620.000000
-2.38957191	0.04277000	0.38356000	-1563.000000
-2.38868690	0.04200700	0.38304099	-1551.000000
-2.38758898	0.04155000	0.38362101	-1531.000000
-2.38856506	0.04124500	0.38377401	-1544.000000
-2.22975206	0.93714899	0.37999001	-1685.000000
-2.38459802	0.04014600	0.38392600	-1602.000000
-2.22361803	0.64750701	0.37766999	-1544.000000
-2.19862390	0.70945698	0.37785301	-1519.000000
-2.38539100	0.03978000	0.38365200	-1600.000000
-2.17668200	1.04832494	0.38151601	-1616.000000
-2.38575697	0.04045100	0.38295001	-1551.000000
-2.38612390	0.04017600	0.38377401	-1591.000000
-2.38664198	0.04090900	0.38346899	-1570.000000
-2.38609290	0.04090900	0.38377401	-1582.000000
-2.19181800	0.77232403	0.37895200	-1514.000000
-2.14216590	1.03443897	0.38179001	-1611.000000
-2.38560510	0.04121400	0.38368201	-1558.000000
-2.38661194	0.04197700	0.38346899	-1558.000000
-2.24958801	0.49992400	0.37840301	-1543.000000
-2.21626306	0.85890198	0.37879899	-1583.000000
-2.38935900	0.04344200	0.38316301	-1559.000000
-2.39057899	0.04393000	0.38334700	-1566.000000
-2.19905090	0.71183801	0.37840301	-1421.000000
-2.38856506	0.04417400	0.38340801	-1580.000000
-2.38731408	0.04454000	0.38359100	-1602.000000
-2.21476698	0.99244702	0.38090500	-1646.000000
-2.24073792	0.69264197	0.37791401	-1628.000000
-2.38923597	0.04682900	0.38352999	-1605.000000
-2.19575500	1.07173204	0.38191199	-1584.000000
-2.17631507	0.86552399	0.37965399	-1509.000000
-2.38709998	0.04640200	0.38316301	-1595.000000
-2.20484900	1.02845800	0.38066101	-1652.000000
-2.38484192	0.04380800	0.38359100	-1586.000000
-2.19337511	1.08915699	0.38276699	-1594.000000
-2.28980994	0.63645899	0.37873799	-1719.000000
-2.23704505	0.75563002	0.37782300	-1639.000000
-2.38420105	0.04313700	0.38307199	-1575.000000
-2.26451111	0.40803501	0.37855500	-1576.000000
-2.30830407	0.42439300	0.37855500	-1650.000000
-2.20082092	0.87773103	0.37913501	-1656.000000
-2.38307190	0.04484600	0.38368201	-1586.000000
-2.15248108	1.09135401	0.38264501	-1494.000000
-2.14497399	1.07209802	0.38291901	-1624.000000
-2.38581800	0.04600500	0.38334700	-1598.000000
-2.20539904	0.99885601	0.38075301	-1626.000000
-2.17936707	0.91877699	0.37959301	-1587.000000
-2.38407898	0.04597500	0.38346899	-1600.000000
-2.38459802	0.04673800	0.38316301	-1612.000000
-2.38285804	0.04670700	0.38325500	-1614.000000
-2.24726892	0.49311799	0.37852499	-1474.000000
-2.37995911	0.04081700	0.38356000	-1612.000000
-2.38111901	0.03971900	0.38410899	-1630.000000
-2.23649597	0.88026398	0.37916601	-1678.000000
-2.16719103	0.97431898	0.38020301	-1575.000000
-2.38273597	0.04042100	0.38322401	-1582.000000
-2.19731092	1.04603601	0.38117999	-1588.000000
-2.38215590	0.03971900	0.38389599	-1628.000000
-2.21107507	0.70628399	0.37776199	-1508.000000
-2.14381409	1.06193495	0.38203400	-1607.000000
-2.38264489	0.04145800	0.38359100	-1579.000000
-2.38127089	0.04188500	0.38301101	-1566.000000
-2.38264489	0.04264800	0.38359100	-1559.000000
-2.19474792	0.85557598	0.37879899	-1589.000000
-2.38087511	0.04261800	0.38371301	-1566.000000
-2.16743493	0.87635797	0.37971500	-1416.000000
-2.38014197	0.04112200	0.38395700	-1621.000000
-2.38023400	0.04185500	0.38322401	-1575.000000
-2.37947106	0.04109200	0.38346899	-1610.000000
-2.37904406	0.04109200	0.38301101	-1598.000000
-2.20713806	1.04441798	0.38087499	-1665.000000
-2.22904992	0.63407898	0.37754801	-1539.000000
-2.37968397	0.04222100	0.38349900	-1580.000000
-2.37974501	0.04222100	0.38313299	-1568.000000
-2.37962294	0.04222100	0.38389599	-1602.000000
-2.26042199	0.46238700	0.37809801	-1522.000000
-2.37864709	0.03965800	0.38410899	-1630.000000
-2.37748694	0.04002400	0.38352999	-1629.000000
-2.37876892	0.04032900	0.38334700	-1611.000000
-2.26921105	0.49980199	0.37779200	-1606.000000
-2.37724304	0.04075600	0.38349900	-1618.000000
-2.32041907	0.44664001	0.37886000	-1693.000000
-2.37678504	0.03920000	0.38340801	-1607.000000
-2.25016809	0.81550598	0.37910500	-1659.000000
-2.19285607	0.97273302	0.37999001	-1597.000000
-2.24681091	0.79789698	0.37879899	-1646.000000
-2.20414710	1.08216906	0.38182101	-1526.000000
-2.17897010	0.95463598	0.37986800	-1611.000000
-2.29737902	0.49339300	0.37825000	-1672.000000
-2.28794909	0.43485999	0.37864700	-1644.000000
-2.37522888	0.04176300	0.38356000	-1637.000000
-2.24195910	0.72081000	0.37794501	-1602.000000
-2.25434899	0.77040100	0.37849399	-1652.000000
-2.37941003	0.04371600	0.38346899	-1595.000000
-2.38136292	0.04307600	0.38377401	-1580.000000
-2.21122694	0.99989301	0.38047799	-1657.000000
-2.16886902	0.95411700	0.38026401	-1584.000000
-2.18870497	0.96363801	0.38032499	-1627.000000
-2.26341200	0.68690503	0.37809801	-1673.000000
-2.23707604	0.78233302	0.37882999	-1676.000000
-2.24119592	0.51628101	0.37913501	-1327.000000
-2.22197008	0.83226001	0.37849399	-1595.000000
-2.37916589	0.04438800	0.38343799	-1603.000000
-2.22785902	0.90129101	0.37913501	-1664.000000
-2.38215590	0.04518100	0.38316301	-1596.000000
-2.38136292	0.04591400	0.38340801	-1607.000000
-2.19895911	0.81163001	0.37882999	-1594.000000
-2.37992907	0.04515100	0.38316301	-1587.000000
-2.38035607	0.04591400	0.38362101	-1617.000000
-2.38038611	0.04628000	0.38325500	-1624.000000
-2.15394592	1.00758398	0.38124099	-1601.000000
-2.15306091	0.96595800	0.38026401	-1563.000000
-2.37745690	0.04301500	0.38352999	-1604.000000
-2.37797499	0.04322800	0.38322401	-1602.000000
-2.21467590	0.62519801	0.37858599	-1397.000000
-2.30018592	0.45524600	0.37821999	-1655.000000
-2.19847107	1.04200697	0.38066101	-1616.000000
-2.37571692	0.04469300	0.38325500	-1602.000000
-2.21482801	0.73673999	0.37837201	-1596.000000
-2.37818909	0.04512000	0.38328600	-1588.000000
-2.20268202	0.84266698	0.37849399	-1587.000000
-2.17140198	0.93849200	0.38001999	-1606.000000
-2.24293494	0.66142303	0.37794501	-1579.000000
-2.37690711	0.04545600	0.38346899	-1621.000000
-2.13639808	1.04893506	0.38233900	-1521.000000
-2.37617493	0.04618800	0.38334700	-1636.000000
-2.23954797	0.67365998	0.37797499	-1616.000000
-2.22126794	0.65873700	0.37818900	-1538.000000
-2.19328308	1.04579198	0.38136300	-1584.000000
-2.15278602	1.05158997	0.38182101	-1645.000000
-2.39756799	0.04734800	0.38255301	-1682.000000
-2.15504503	1.05027795	0.38206500	-1635.000000
-2.39778090	0.04850800	0.38258401	-1668.000000
-2.39656091	0.04960600	0.38240099	-1633.000000
-2.17262292	1.07426500	0.38273600	-1607.000000
-2.20518494	0.74415600	0.37764001	-1556.000000
-2.15321398	0.99574298	0.38111901	-1588.000000
-2.39625502	0.04884300	0.38273600	-1603.000000
-2.20826697	1.05976903	0.38127100	-1626.000000
-2.20140100	1.03468299	0.38060001	-1646.000000
-2.39402795	0.04954500	0.38276699	-1586.000000
-2.39500403	0.05101000	0.38252300	-1650.000000
-2.20564294	0.87052900	0.37864700	-1631.000000
-2.18220496	0.83869898	0.37858599	-1570.000000
-2.15370202	1.03382897	0.38188201	-1617.000000
-2.39765906	0.05445900	0.38258401	-1661.000000
-2.39527893	0.05290200	0.38218701	-1712.000000
-2.24461389	0.47978199	0.37837201	-1477.000000
-2.25798011	0.67009002	0.37760901	-1613.000000
-2.16722107	1.09208703	0.38322401	-1564.000000
-2.24162292	0.64140302	0.37757900	-1646.000000
-2.39424109	0.05098000	0.38279700	-1617.000000
-2.39411902	0.05098000	0.38200399	-1706.000000
-2.22383094	0.81660497	0.37831101	-1638.000000
-2.39521790	0.05470300	0.38218701	-1705.000000
-2.27546692	0.48756400	0.37760901	-1600.000000
-2.39689589	0.05555700	0.38246199	-1699.000000
-2.19899011	0.74662799	0.37831101	-1555.000000
-2.21131897	0.80772400	0.37821999	-1613.000000
-2.39512610	0.05702200	0.38258401	-1666.000000
-2.23777795	0.81239301	0.37825000	-1675.000000
-2.39359999	0.05699200	0.38270599	-1631.000000
-2.19297791	0.75587499	0.37825000	-1508.000000
-2.21742201	1.00016797	0.37983701	-1581.000000
-2.15608191	1.09062195	0.38310200	-1576.000000
-2.20780897	0.79670697	0.37895200	-1600.000000
-2.23164392	0.69959998	0.37760901	-1592.000000
-2.39143395	0.05763200	0.38237000	-1615.000000
-2.16856408	0.92814600	0.38008100	-1611.000000
-2.25721693	0.51808202	0.37803599	-1552.000000
-2.39085388	0.05873100	0.38267499	-1621.000000
-2.16551208	1.00398302	0.38078299	-1579.000000
-2.29924011	0.42304999	0.37858599	-1545.000000
-2.19548011	0.90089399	0.37895200	-1640.000000
-2.39280701	0.06028700	0.38261399	-1654.000000
-2.25157189	0.47074899	0.37843299	-1470.000000
-2.21324205	0.95408601	0.37944001	-1680.000000
-2.19566298	0.95906103	0.37989801	-1645.000000
-2.25172400	0.72120702	0.37794501	-1655.000000
-2.25050402	0.46726999	0.37852499	-1425.000000
-2.39430189	0.06062300	0.38246199	-1675.000000
-2.29768395	0.48228499	0.37831101	-1611.000000
-2.24919105	0.83616602	0.37892199	-1698.000000
-2.39149499	0.06169100	0.38279700	-1641.000000
-2.39204407	0.06169100	0.38249201	-1647.000000
-2.19712806	0.75654602	0.37855500	-1485.000000
-2.20677209	1.02851903	0.38053900	-1661.000000
-2.39863610	0.04777500	0.38349900	-1608.000000
-2.20704699	1.06626904	0.38114899	-1595.000000
-2.39869690	0.04814100	0.38310200	-1626.000000
-2.16499305	0.93089300	0.38011199	-1565.000000
-2.39866590	0.04917900	0.38310200	-1586.000000
-2.39863610	0.05040000	0.38310200	-1608.000000
-2.19264197	0.74287403	0.37864700	-1450.000000
-2.39494300	0.04768400	0.38328600	-1615.000000
-2.39518690	0.04844700	0.38331601	-1598.000000
-2.22489905	0.77925098	0.37834200	-1649.000000
-2.39820910	0.04737900	0.38304099	-1635.000000
-2.23643494	0.50386000	0.37901300	-1245.000000
-2.39500403	0.04808000	0.38291901	-1603.000000
-2.25666809	0.48640400	0.37794501	-1537.000000
-2.39475989	0.04881300	0.38285801	-1605.000000
-2.20924401	0.82948297	0.37873799	-1654.000000
-2.39839196	0.05076600	0.38307199	-1603.000000
-2.39738488	0.05036900	0.38328600	-1594.000000
-2.39643908	0.04914900	0.38313299	-1593.000000
-2.22978210	0.65531898	0.37785301	-1602.000000
-2.39488196	0.05070500	0.38328600	-1600.000000
-2.39170790	0.04689000	0.38352999	-1601.000000
-2.39274597	0.04689000	0.38331601	-1598.000000
-2.26631188	0.68318200	0.37837201	-1657.000000
-2.39326501	0.04728700	0.38301101	-1607.000000
-2.24498010	0.68583697	0.37748700	-1622.000000
-2.28059411	0.52046198	0.37766999	-1630.000000
-2.39323401	0.04878200	0.38301101	-1603.000000
-2.39317298	0.04878200	0.38340801	-1607.000000
-2.39296007	0.04838600	0.38334700	-1600.000000
-2.26695299	0.42512500	0.37834200	-1616.000000
-2.27891493	0.49266100	0.37757900	-1607.000000
-2.39347792	0.04954500	0.38304099	-1610.000000
-2.17439294	1.05751002	0.38182101	-1568.000000
-2.39421105	0.04908800	0.38316301	-1598.000000
-2.21305799	0.70661902	0.37770101	-1537.000000
-2.22996497	0.67521697	0.37843299	-1592.000000
-2.39238000	0.04951500	0.38365200	-1617.000000
-2.17436194	0.84297198	0.37916601	-1463.000000
-2.39225793	0.04982000	0.38285801	-1603.000000
-2.17912292	0.94981402	0.38035601	-1627.000000
-2.39146399	0.05064400	0.38313299	-1612.000000
-2.39518690	0.05137600	0.38295001	-1652.000000
-2.18806505	0.86039698	0.37886000	-1632.000000
-2.29539490	0.47767600	0.37815899	-1671.000000
-2.39689589	0.05256700	0.38282800	-1670.000000
-2.23731995	0.83537298	0.37904400	-1627.000000
-2.39494300	0.05183400	0.38291901	-1650.000000
-2.39491296	0.05250500	0.38291901	-1642.000000
-2.26826501	0.67500299	0.37828100	-1596.000000
-2.39659095	0.05329900	0.38319400	-1614.000000
-2.39710999	0.05442800	0.38288900	-1621.000000
-2.15666199	0.98649597	0.38099700	-1591.000000
-2.39509606	0.05326800	0.38331601	-1614.000000
-2.39576697	0.05439800	0.38343799	-1603.000000
-2.25086999	0.42677301	0.37913501	-1367.000000
-2.39457703	0.05394000	0.38325500	-1608.000000
-2.39463806	0.05467200	0.38285801	-1605.000000
-2.26438904	0.64451599	0.37745699	-1629.000000
-2.21446204	0.74202001	0.37782300	-1617.000000
-2.18675208	1.03889501	0.38114899	-1565.000000
-2.39390612	0.05180400	0.38313299	-1645.000000
-2.39436293	0.05250500	0.38322401	-1640.000000
-2.21375990	0.76228303	0.37840301	-1610.000000
-2.19752502	1.06037903	0.38139299	-1596.000000
-2.17906189	0.85530102	0.37947100	-1566.000000
-2.39161706	0.05244400	0.38352999	-1642.000000
-2.16163611	0.96302801	0.38056901	-1590.000000
-2.39363098	0.05287200	0.38310200	-1636.000000
-2.15269494	1.01347399	0.38185099	-1556.000000
-2.30805993	0.45094299	0.37855500	-1672.000000
-2.39259291	0.05464200	0.38331601	-1612.000000
-2.39213610	0.05320700	0.38322401	-1619.000000
-2.23081994	0.91285700	0.37947100	-1693.000000
-2.14674401	1.07633996	0.38270599	-1641.000000
-2.22645593	0.86961401	0.37861601	-1669.000000
-2.19404602	0.88993800	0.37922701	-1601.000000
-2.39530897	0.05619800	0.38297999	-1624.000000
-2.39805603	0.05522200	0.38304099	-1643.000000
-2.16960096	1.04524195	0.38185099	-1622.000000
-2.17176795	0.91709900	0.37950099	-1592.000000
-2.39753699	0.05625900	0.38295001	-1624.000000
-2.39652991	0.05586200	0.38319400	-1619.000000
-2.28199792	0.64543200	0.37831101	-1708.000000
-2.39646912	0.05848700	0.38319400	-1643.000000
-2.39134192	0.05574000	0.38313299	-1636.000000
-2.17860389	0.85053998	0.37910500	-1515.000000
-2.20072889	0.88798499	0.37895200	-1620.000000
-2.20494103	0.78379798	0.37821999	-1630.000000
-2.39356995	0.05580100	0.38310200	-1621.000000
-2.25614905	0.73066700	0.37831101	-1646.000000
-2.39283800	0.05613700	0.38297999	-1621.000000
-2.22474694	0.72200000	0.37764001	-1625.000000
-2.22248793	0.78391999	0.37821999	-1651.000000
-2.39283800	0.05696100	0.38297999	-1619.000000
-2.22789001	0.74140900	0.37834200	-1610.000000
-2.25627089	0.65470898	0.37779200	-1642.000000
-2.28251600	0.50639302	0.37748700	-1654.000000
-2.22608900	0.95442200	0.38053900	-1604.000000
-2.29249597	0.50559998	0.37791401	-1619.000000
-2.15925598	0.99574298	0.38084400	-1636.000000
-2.24272203	0.74791002	0.37791401	-1621.000000
-2.39723206	0.05888400	0.38291901	-1645.000000
-2.39674401	0.05915800	0.38282800	-1656.000000
-2.14213610	1.06245399	0.38221699	-1617.000000
-2.20906091	1.04618800	0.38087499	-1668.000000
-2.21940589	0.96128798	0.38038599	-1644.000000
-2.25364709	0.40965301	0.37867701	-1447.000000
-2.21092200	0.91642803	0.37947100	-1660.000000
-2.22242689	0.77574199	0.37852499	-1634.000000
-2.39445496	0.06144700	0.38285801	-1645.000000
-2.17561293	0.85630798	0.37861601	-1550.000000
-2.17951989	1.09150696	0.38258401	-1586.000000
-2.39198303	0.06205700	0.38285801	-1647.000000
-2.22514296	0.81745899	0.37815899	-1627.000000
-2.15061998	0.97779799	0.38066101	-1566.000000
-2.23182702	0.73274201	0.37812799	-1602.000000
-2.38389611	0.04963700	0.38267499	-1628.000000
-2.38459802	0.05049100	0.38279700	-1635.000000
-2.23200989	0.86540198	0.37879899	-1674.000000
-2.21836901	0.73643500	0.37815899	-1605.000000
-2.38096595	0.04740900	0.38258401	-1623.000000
-2.21513391	0.64088398	0.37825000	-1448.000000
-2.20008898	0.85542297	0.37882999	-1583.000000
-2.13688707	1.04466200	0.38212600	-1468.000000
-2.20249891	0.76994300	0.37821999	-1621.000000
-2.22654700	0.64534003	0.37764001	-1553.000000
-2.23063707	0.84422302	0.37855500	-1616.000000
-2.16423011	1.00776696	0.38121000	-1620.000000
-2.38499498	0.05635100	0.38249201	-1635.000000
-2.38642907	0.05680800	0.38273600	-1600.000000
-2.19209290	0.78880298	0.37840301	-1551.000000
-2.21232605	1.03398097	0.38090500	-1596.000000
-2.19297791	0.93974298	0.37983701	-1646.000000
-2.22175598	0.76048303	0.37800601	-1621.000000
-2.38291907	0.06004300	0.38255301	-1580.000000
-2.38566589	0.05888400	0.38261399	-1587.000000
-2.21281409	1.05018604	0.38127100	-1637.000000
-2.26328993	0.47291601	0.37815899	-1449.000000
-2.24131799	0.64961201	0.37751800	-1610.000000
-2.38313293	0.06147800	0.38258401	-1591.000000
-2.27085900	0.67576599	0.37834200	-1600.000000
-2.22224402	0.67784101	0.37809801	-1584.000000
-2.21607995	0.72450298	0.37794501	-1598.000000
-2.16825891	0.92320299	0.38011199	-1581.000000
-2.38172889	0.05671700	0.38273600	-1623.000000
-2.37657189	0.05577100	0.38267499	-1625.000000
-2.37730408	0.05616800	0.38279700	-1614.000000
-2.37879896	0.05619800	0.38264501	-1627.000000
-2.37727404	0.05726600	0.38279700	-1607.000000
-2.37678504	0.05690000	0.38270599	-1613.000000
-2.17036390	0.94087201	0.38001999	-1610.000000
-2.19453406	0.78431702	0.37815899	-1496.000000
-2.37962294	0.06175200	0.38279700	-1572.000000
-2.16404700	1.02461195	0.38081399	-1557.000000
-2.37696791	0.06019600	0.38273600	-1611.000000
-2.37593102	0.06202700	0.38258401	-1560.000000
-2.26640296	0.51167297	0.37739599	-1590.000000
-2.26072693	0.66325402	0.37773100	-1588.000000
-2.39024401	0.04759200	0.38331601	-1614.000000
-2.39033508	0.04722600	0.38291901	-1610.000000
-2.39024401	0.04798900	0.38331601	-1635.000000
-2.23103309	0.88136297	0.37919599	-1698.000000
-2.23844910	0.84797698	0.37876901	-1572.000000
-2.19099402	1.05723596	0.38182101	-1606.000000
-2.24189806	0.85688800	0.37901300	-1640.000000
-2.38902307	0.04899600	0.38310200	-1625.000000
-2.21205091	0.77476501	0.37843299	-1646.000000
-2.22410607	0.77546698	0.37840301	-1645.000000
-2.38847399	0.04899600	0.38340801	-1625.000000
-2.38798499	0.04942300	0.38334700	-1616.000000
-2.17396498	0.88807702	0.37916601	-1557.000000
-2.23725891	0.90345800	0.37983701	-1690.000000
-2.25968909	0.72612000	0.37825000	-1664.000000
-2.18016100	1.05082703	0.38139299	-1622.000000
-2.20988488	1.07948303	0.38166800	-1559.000000
-2.38621497	0.05015600	0.38343799	-1623.000000
-2.38627601	0.05015600	0.38307199	-1625.000000
-2.27708411	0.52003503	0.37788400	-1625.000000
-2.19959998	1.02845800	0.38108799	-1616.000000
-2.23292494	0.78019702	0.37846401	-1657.000000
-2.25190711	0.47267199	0.37855500	-1511.000000
-2.24436998	0.65241998	0.37736499	-1603.000000
