#   X	        Y	        Z	    Scalar field
-2.20647860	1.04276574	0.38055307	-1656.000000
-2.25617552	0.41478097	0.38142827	-1514.000000
-2.39480257	0.04474157	0.38258386	-1681.000000
-2.39440513	0.04324630	0.38212788	-1609.000000
-2.26510692	0.49827784	0.38108286	-1604.000000
-2.39629793	0.04599267	0.38242528	-1707.000000
-2.25045538	0.77052385	0.38044938	-1636.000000
-2.20044065	0.73697913	0.38066146	-1508.000000
-2.18305182	0.94907403	0.38049346	-1644.000000
-2.39526057	0.04663366	0.38264242	-1688.000000
-2.24154305	0.77824372	0.38029212	-1658.000000
-2.23255706	0.64982498	0.38099468	-1606.000000
-2.22376823	0.63944781	0.38063183	-1484.000000
-2.25634742	0.75538760	0.38055927	-1651.000000
-2.22785592	0.92817444	0.38096523	-1633.000000
-2.39342737	0.04471112	0.38197839	-1677.000000
-2.39266562	0.04394817	0.38225529	-1667.000000
-2.39147472	0.04318492	0.38204661	-1604.000000
-2.22581124	0.89704573	0.37998021	-1591.000000
-2.39306378	0.04516842	0.38268140	-1665.000000
-2.15285921	1.05600488	0.38102922	-1583.000000
-2.39409852	0.04660325	0.38209724	-1704.000000
-2.39272356	0.04590080	0.38149112	-1767.000000
-2.20470858	1.05323267	0.38101181	-1657.000000
-2.20297766	0.97431439	0.38069010	-1632.000000
-2.15345168	0.94925392	0.38117141	-1455.000000
-2.24860072	0.71043372	0.38060689	-1635.000000
-2.16531491	1.02207029	0.38121855	-1583.000000
-2.15997744	0.99960876	0.38124719	-1587.000000
-2.38732386	0.04278732	0.38178557	-1597.000000
-2.38283849	0.04092501	0.38222834	-1630.000000
-2.25594497	0.81645381	0.38098875	-1630.000000
-2.38582850	0.04196322	0.38194391	-1574.000000
-2.30023956	0.42848885	0.38100058	-1676.000000
-2.38528061	0.04193229	0.38221976	-1586.000000
-2.18496442	1.04877532	0.38071337	-1600.000000
-2.23815680	0.75007516	0.37985909	-1588.000000
-2.38305283	0.04123105	0.38225847	-1625.000000
-2.38405871	0.04272606	0.38204041	-1609.000000
-2.38280821	0.04272601	0.38222757	-1611.000000
-2.38689947	0.04309281	0.38288581	-1623.000000
-2.18382215	0.88529217	0.38046107	-1636.000000
-2.15148640	1.07309389	0.38163641	-1563.000000
-2.21491361	0.93934280	0.38057563	-1652.000000
-2.22032166	0.62879670	0.38110647	-1471.000000
-2.23486090	0.75663579	0.38007981	-1601.000000
-2.38802528	0.04312345	0.38190505	-1639.000000
-2.38747716	0.04312354	0.38221189	-1646.000000
-2.18817687	0.98078287	0.38094896	-1632.000000
-2.38817930	0.04461867	0.38230085	-1671.000000
-2.38787556	0.04437480	0.38263696	-1650.000000
-2.22006631	0.98219031	0.38047662	-1652.000000
-2.38988805	0.04605282	0.38220248	-1665.000000
-2.23561764	0.81553507	0.38026255	-1654.000000
-2.22168303	0.98582155	0.38056150	-1633.000000
-2.38640976	0.04577852	0.38242811	-1646.000000
-2.15149570	0.97546864	0.38110411	-1542.000000
-2.21264791	0.99586046	0.38031155	-1654.000000
-2.19968367	0.95899409	0.38079950	-1665.000000
-2.26157832	0.40461951	0.38126233	-1536.000000
-2.38546324	0.04455734	0.38227886	-1660.000000
-2.26052856	0.76216322	0.38075513	-1659.000000
-2.29004550	0.45747888	0.38141719	-1649.000000
-2.38497496	0.04501524	0.38218924	-1644.000000
-2.38448548	0.04641816	0.38212919	-1636.000000
-2.38250303	0.04525896	0.38219732	-1639.000000
-2.29947925	0.41185585	0.38116422	-1643.000000
-2.26563454	0.41157788	0.38100150	-1605.000000
-2.38296103	0.04638804	0.38225627	-1627.000000
-2.37908602	0.04086366	0.38239378	-1646.000000
-2.15856719	1.07425487	0.38191739	-1629.000000
-2.31271911	0.46761355	0.38148916	-1660.000000
-2.37933016	0.04162671	0.38245359	-1627.000000
-2.37914586	0.04116848	0.38202742	-1635.000000
-2.37990785	0.04229845	0.38177937	-1611.000000
-2.18692541	0.97040647	0.38047019	-1588.000000
-2.21461248	0.65131789	0.38087037	-1531.000000
-2.37765026	0.04010039	0.38218492	-1636.000000
-2.22987080	0.64939672	0.38091177	-1604.000000
-2.29330707	0.47997111	0.38115141	-1619.000000
-2.22160029	0.90409535	0.38017473	-1664.000000
-2.19796705	1.02997804	0.38089249	-1638.000000
-2.37716198	0.04113829	0.38209501	-1631.000000
-2.25815678	0.42356992	0.38089842	-1582.000000
-2.21383691	1.00458848	0.38027331	-1645.000000
-2.37719154	0.04223711	0.38172740	-1615.000000
-2.19720554	1.00940859	0.38060006	-1617.000000
-2.18677616	0.94168949	0.38054574	-1636.000000
-2.37676716	0.04290859	0.38279748	-1615.000000
-2.37484431	0.04220622	0.38249820	-1624.000000
-2.19775581	0.74176991	0.38088202	-1518.000000
-2.24971342	0.88969547	0.38182765	-1712.000000
-2.37639832	0.04260314	0.38197485	-1606.000000
-2.30636764	0.48528260	0.38107455	-1617.000000
-2.15659022	0.99918145	0.38150263	-1596.000000
-2.25046110	0.47212321	0.38123617	-1522.000000
-2.20216584	0.85795015	0.38038364	-1648.000000
-2.37926865	0.04446471	0.38245243	-1625.000000
-2.15512180	1.03076637	0.38152304	-1563.000000
-2.37981677	0.04446462	0.38214561	-1629.000000
-2.16284108	1.02911985	0.38094831	-1623.000000
-2.21722460	1.01142490	0.38038078	-1591.000000
-2.20375323	0.84989429	0.38016832	-1586.000000
-2.18028998	0.81613874	0.38041553	-1495.000000
-2.15491724	0.95856237	0.38162002	-1492.000000
-2.18358278	0.83753198	0.38024119	-1574.000000
-2.38122129	0.04675390	0.38238382	-1644.000000
-2.37948298	0.04586875	0.38248104	-1621.000000
-2.21211672	0.83353716	0.38008761	-1673.000000
-2.32031822	0.46239635	0.38137549	-1591.000000
-2.13461161	1.08383536	0.38235807	-1530.000000
-2.25585914	0.74437046	0.38032225	-1675.000000
-2.37530255	0.04364032	0.38258797	-1615.000000
-2.21596003	0.62208241	0.38161221	-1356.000000
-2.24640656	0.68418843	0.38053498	-1629.000000
-2.37807822	0.04336647	0.38224292	-1608.000000
-2.19792962	0.80845076	0.38036084	-1556.000000
-2.37829137	0.04489252	0.38230243	-1619.000000
-2.19802260	0.78806460	0.38000351	-1583.000000
-2.20934701	1.06122935	0.38099253	-1621.000000
-2.21769500	0.65305734	0.38107231	-1521.000000
-2.37704086	0.04486145	0.38245961	-1617.000000
-2.37481308	0.04437321	0.38249725	-1626.000000
-2.37487268	0.04330504	0.38213155	-1604.000000
-2.20060921	0.85526484	0.38002312	-1619.000000
-2.19749999	0.82871467	0.38029140	-1620.000000
-2.23907161	0.76505935	0.38000077	-1633.000000
-2.37707043	0.04626528	0.38209280	-1633.000000
-2.37627745	0.04559432	0.38236979	-1624.000000
-2.26013708	0.43852401	0.38057953	-1580.000000
-2.23057199	0.64552152	0.38048434	-1601.000000
